year,reporter,partner,commodity_code,section_code,trade_value_usd_exp,trade_value_usd_imp
2020,Argentina,Mexico,390410,07,0,168710
2017,Argentina,Mexico,390422,07,0,520281
2018,Argentina,Mexico,390422,07,0,378627
2017,Argentina,Mexico,390521,07,0,25206
2019,Argentina,Mexico,390521,07,0,12695
2019,Argentina,Mexico,390529,07,0,1631
2019,Argentina,Mexico,390591,07,0,152
2019,Argentina,Mexico,390599,07,0,132
2020,Argentina,Mexico,390610,07,0,5191
2017,Argentina,Mexico,390690,07,8574,540593
2018,Argentina,Mexico,390690,07,43069,479324
2019,Argentina,Mexico,390690,07,0,351695
2020,Argentina,Mexico,390690,07,77676,522910
2017,Argentina,Mexico,390720,07,20210,822842
2018,Argentina,Mexico,390720,07,0,635827
2019,Argentina,Mexico,390720,07,0,734433
2020,Argentina,Mexico,390720,07,974057,1075728
2018,Argentina,Mexico,390730,07,0,590
2017,Argentina,Mexico,390750,07,0,1810
2018,Argentina,Mexico,390750,07,0,2200
2019,Argentina,Mexico,390750,07,0,2739
2020,Argentina,Mexico,390750,07,0,2747
2017,Argentina,Mexico,390760,07,0,5613672
2018,Argentina,Mexico,390760,07,0,4856288
2019,Argentina,Mexico,390760,07,0,1279694
2020,Argentina,Mexico,390760,07,0,1790903
2017,Argentina,Mexico,390791,07,0,32089
2019,Argentina,Mexico,390791,07,0,5985
2020,Argentina,Mexico,390791,07,0,6002
2017,Argentina,Mexico,390799,07,0,63336
2018,Argentina,Mexico,390799,07,0,102277
2019,Argentina,Mexico,390799,07,0,10688
2020,Argentina,Mexico,390799,07,0,1525
2017,Argentina,Mexico,390810,07,0,1183584
2018,Argentina,Mexico,390810,07,0,1968985
2019,Argentina,Mexico,390810,07,0,1136322
2020,Argentina,Mexico,390810,07,0,27157
2017,Argentina,Mexico,390890,07,3296,4815
2019,Argentina,Mexico,390890,07,0,873
2017,Argentina,Mexico,390910,07,0,258682
2018,Argentina,Mexico,390910,07,0,338104
2019,Argentina,Mexico,390910,07,0,271731
2020,Argentina,Mexico,390910,07,0,240310
2017,Argentina,Mexico,390920,07,0,6725
2018,Argentina,Mexico,390920,07,0,12730
2019,Argentina,Mexico,390920,07,0,13772
2020,Argentina,Mexico,390920,07,0,14695
2018,Argentina,Mexico,390930,07,0,3558
2017,Argentina,Mexico,390940,07,0,105964
2018,Argentina,Mexico,390940,07,0,299417
2019,Argentina,Mexico,390940,07,0,136359
2020,Argentina,Mexico,390940,07,0,700444
2017,Argentina,Mexico,390950,07,3675,1752564
2018,Argentina,Mexico,390950,07,0,2714406
2019,Argentina,Mexico,390950,07,0,1879597
2020,Argentina,Mexico,390950,07,0,2503658
2017,Argentina,Mexico,391000,07,1306,0
2017,Argentina,Mexico,391110,07,392730,0
2019,Argentina,Mexico,391110,07,0,183040
2017,Argentina,Mexico,391190,07,0,16971
2018,Argentina,Mexico,391190,07,0,116313
2020,Argentina,Mexico,391190,07,0,8878
2017,Argentina,Mexico,391231,07,0,224305
2019,Argentina,Mexico,391231,07,0,58400
2017,Argentina,Mexico,391239,07,6654,32689
2018,Argentina,Mexico,391239,07,0,34630
2019,Argentina,Mexico,391239,07,0,33334
2020,Argentina,Mexico,391239,07,0,63919
2019,Argentina,Mexico,391290,07,0,34
2017,Argentina,Mexico,391390,07,1505638,0
2018,Argentina,Mexico,391390,07,2582614,0
2019,Argentina,Mexico,391390,07,2115608,0
2017,Argentina,Mexico,391590,07,37744,0
2018,Argentina,Mexico,391590,07,0,22053
2018,Argentina,Mexico,391610,07,0,7891
2019,Argentina,Mexico,391610,07,0,5664
2017,Argentina,Mexico,391620,07,352083,297794
2018,Argentina,Mexico,391620,07,288470,395318
2019,Argentina,Mexico,391620,07,0,363394
2020,Argentina,Mexico,391620,07,0,185560
2017,Argentina,Mexico,391690,07,0,195475
2018,Argentina,Mexico,391690,07,0,276494
2019,Argentina,Mexico,391690,07,0,136400
2020,Argentina,Mexico,391690,07,1438,62912
2017,Argentina,Mexico,391721,07,160009,0
2017,Argentina,Mexico,391722,07,241524,88707
2018,Argentina,Mexico,391722,07,0,45804
2019,Argentina,Mexico,391722,07,0,5725
2020,Argentina,Mexico,391722,07,0,325
2017,Argentina,Mexico,391723,07,0,14534
2020,Argentina,Mexico,391723,07,0,13286
2017,Argentina,Mexico,391729,07,4393,7079
2018,Argentina,Mexico,391729,07,0,48
2019,Argentina,Mexico,391729,07,2915,4610
2017,Argentina,Mexico,391731,07,0,1401
2018,Argentina,Mexico,391731,07,0,4105
2019,Argentina,Mexico,391731,07,0,279
2020,Argentina,Mexico,391731,07,0,429
2017,Argentina,Mexico,391732,07,218043,187258
2018,Argentina,Mexico,391732,07,251875,460840
2019,Argentina,Mexico,391732,07,171871,63645
2020,Argentina,Mexico,391732,07,61676,111134
2017,Argentina,Mexico,391733,07,7567,43177
2018,Argentina,Mexico,391733,07,0,346538
2019,Argentina,Mexico,391733,07,12987,187959
2020,Argentina,Mexico,391733,07,0,196102
2017,Argentina,Mexico,391739,07,3728,71607
2018,Argentina,Mexico,391739,07,5411,129279
2019,Argentina,Mexico,391739,07,47011,120138
2020,Argentina,Mexico,391739,07,3866,199732
2017,Argentina,Mexico,391740,07,707354,126339
2018,Argentina,Mexico,391740,07,276985,311859
2019,Argentina,Mexico,391740,07,555676,146006
2020,Argentina,Mexico,391740,07,350271,215569
2019,Argentina,Mexico,391890,07,0,347
2020,Argentina,Mexico,391890,07,0,1198
2017,Argentina,Mexico,391910,07,1096417,8409
2018,Argentina,Mexico,391910,07,196934,8629
2019,Argentina,Mexico,391910,07,156436,2678
2020,Argentina,Mexico,391910,07,58708,75114
2017,Argentina,Mexico,391990,07,685378,2089309
2018,Argentina,Mexico,391990,07,83374,2757309
2019,Argentina,Mexico,391990,07,184680,1390656
2020,Argentina,Mexico,391990,07,676779,1573920
2017,Argentina,Mexico,392010,07,63913,978985
2018,Argentina,Mexico,392010,07,0,1618551
2019,Argentina,Mexico,392010,07,0,1042252
2020,Argentina,Mexico,392010,07,0,285085
2017,Argentina,Mexico,392020,07,40,601826
2018,Argentina,Mexico,392020,07,0,376877
2019,Argentina,Mexico,392020,07,0,558889
2020,Argentina,Mexico,392020,07,0,189914
2017,Argentina,Mexico,392030,07,0,161220
2018,Argentina,Mexico,392030,07,0,177711
2019,Argentina,Mexico,392030,07,0,366179
2020,Argentina,Mexico,392030,07,0,370393
2017,Argentina,Mexico,392043,07,269380,1905442
2018,Argentina,Mexico,392043,07,0,1552129
2020,Argentina,Mexico,392043,07,0,322401
2017,Argentina,Mexico,392049,07,0,2789
2018,Argentina,Mexico,392049,07,0,1047
2017,Argentina,Mexico,392051,07,147600,0
2018,Argentina,Mexico,392051,07,0,88253
2019,Argentina,Mexico,392051,07,0,194490
2017,Argentina,Mexico,392059,07,0,1159
2017,Argentina,Mexico,392061,07,0,1009501
2018,Argentina,Mexico,392061,07,0,528109
2019,Argentina,Mexico,392061,07,0,350646
2020,Argentina,Mexico,392061,07,0,137537
2017,Argentina,Mexico,392062,07,13420,2642411
2018,Argentina,Mexico,392062,07,0,3096241
2019,Argentina,Mexico,392062,07,0,4070388
2020,Argentina,Mexico,392062,07,0,5321634
2017,Argentina,Mexico,392069,07,331,0
2018,Argentina,Mexico,392069,07,0,22800
2017,Argentina,Mexico,392071,07,0,34603
2017,Argentina,Mexico,392079,07,0,14385
2018,Argentina,Mexico,392079,07,0,12207
2019,Argentina,Mexico,392079,07,0,18714
2020,Argentina,Mexico,392079,07,0,15608
2017,Argentina,Mexico,392091,07,0,3527536
2018,Argentina,Mexico,392091,07,0,3400427
2019,Argentina,Mexico,392091,07,0,2218612
2020,Argentina,Mexico,392091,07,0,1631999
2017,Argentina,Mexico,392092,07,18307,0
2019,Argentina,Mexico,392092,07,0,88
2017,Argentina,Mexico,392099,07,0,9668
2018,Argentina,Mexico,392099,07,0,7790
2019,Argentina,Mexico,392099,07,0,6798
2020,Argentina,Mexico,392099,07,0,8936
2017,Argentina,Mexico,392112,07,0,780150
2018,Argentina,Mexico,392112,07,0,701201
2019,Argentina,Mexico,392112,07,0,51570
2019,Argentina,Mexico,392113,07,0,261207
2018,Argentina,Mexico,392119,07,0,139501
2019,Argentina,Mexico,392119,07,0,306894
2020,Argentina,Mexico,392119,07,0,85018
2017,Argentina,Mexico,392190,07,120,762476
2018,Argentina,Mexico,392190,07,0,1039870
2019,Argentina,Mexico,392190,07,0,891595
2020,Argentina,Mexico,392190,07,0,965624
2017,Argentina,Mexico,392210,07,0,158876
2018,Argentina,Mexico,392210,07,0,59593
2019,Argentina,Mexico,392210,07,0,13155
2017,Argentina,Mexico,392290,07,0,2317
2018,Argentina,Mexico,392290,07,0,18248
2019,Argentina,Mexico,392290,07,0,1398
2020,Argentina,Mexico,392290,07,0,1488
2017,Argentina,Mexico,392310,07,13507,879
2018,Argentina,Mexico,392310,07,140000,7974
2019,Argentina,Mexico,392310,07,794469,72708
2020,Argentina,Mexico,392310,07,68328,161212
2017,Argentina,Mexico,392321,07,46950,14411
2018,Argentina,Mexico,392321,07,160802,17779
2019,Argentina,Mexico,392321,07,157135,66470
2020,Argentina,Mexico,392321,07,85941,61159
2017,Argentina,Mexico,392329,07,3346,0
2018,Argentina,Mexico,392329,07,0,13494
2019,Argentina,Mexico,392329,07,0,5
2020,Argentina,Mexico,392329,07,0,116418
2017,Argentina,Mexico,392330,07,140927,766480
2018,Argentina,Mexico,392330,07,295936,181317
2019,Argentina,Mexico,392330,07,147299,70196
2020,Argentina,Mexico,392330,07,361873,150773
2017,Argentina,Mexico,392340,07,0,28579
2018,Argentina,Mexico,392340,07,0,22848
2019,Argentina,Mexico,392340,07,0,18376
2017,Argentina,Mexico,392350,07,106596,2123803
2018,Argentina,Mexico,392350,07,257367,2135425
2019,Argentina,Mexico,392350,07,63770,1638671
2020,Argentina,Mexico,392350,07,143179,1829625
2017,Argentina,Mexico,392390,07,23870,762265
2018,Argentina,Mexico,392390,07,0,1049320
2019,Argentina,Mexico,392390,07,18302,1130388
2020,Argentina,Mexico,392390,07,0,344857
2017,Argentina,Mexico,392410,07,1625,2469243
2018,Argentina,Mexico,392410,07,2020,3045748
2019,Argentina,Mexico,392410,07,39999,2591284
2020,Argentina,Mexico,392410,07,7367,2489151
2017,Argentina,Mexico,392490,07,2397,49153
2018,Argentina,Mexico,392490,07,0,79907
2019,Argentina,Mexico,392490,07,7582,72734
2020,Argentina,Mexico,392490,07,0,59050
2017,Argentina,Mexico,392510,07,0,29786
2017,Argentina,Mexico,392520,07,81,0
2017,Argentina,Mexico,392530,07,3035,160
2018,Argentina,Mexico,392530,07,0,2220
2019,Argentina,Mexico,392530,07,0,6886
2017,Argentina,Mexico,392590,07,40665,427550
2018,Argentina,Mexico,392590,07,70992,314577
2019,Argentina,Mexico,392590,07,55949,481190
2020,Argentina,Mexico,392590,07,37297,379901
2017,Argentina,Mexico,392610,07,0,13248
2018,Argentina,Mexico,392610,07,0,13742
2019,Argentina,Mexico,392610,07,0,5783
2020,Argentina,Mexico,392610,07,0,6205
2017,Argentina,Mexico,392620,07,1798,37987
2018,Argentina,Mexico,392620,07,0,34179
2019,Argentina,Mexico,392620,07,0,24151
2020,Argentina,Mexico,392620,07,71271,26645
2017,Argentina,Mexico,392630,07,32390,1586207
2018,Argentina,Mexico,392630,07,55310,1564957
2019,Argentina,Mexico,392630,07,30682,955564
2020,Argentina,Mexico,392630,07,15308,509431
2017,Argentina,Mexico,392640,07,560,59144
2018,Argentina,Mexico,392640,07,0,118348
2019,Argentina,Mexico,392640,07,0,596
2017,Argentina,Mexico,392690,07,972614,4582218
2018,Argentina,Mexico,392690,07,895181,4663948
2019,Argentina,Mexico,392690,07,811499,6060076
2020,Argentina,Mexico,392690,07,627945,5673356
2017,Argentina,Mexico,400219,07,34529,373106
2018,Argentina,Mexico,400219,07,0,235983
2019,Argentina,Mexico,400219,07,0,61619
2020,Argentina,Mexico,400219,07,0,17520
2017,Argentina,Mexico,400259,07,0,5334
2018,Argentina,Mexico,400259,07,0,5610
2019,Argentina,Mexico,400259,07,0,12801
2020,Argentina,Mexico,400259,07,0,11760
2017,Argentina,Mexico,400299,07,121021,0
2018,Argentina,Mexico,400299,07,0,38139
2019,Argentina,Mexico,400299,07,0,5975
2017,Argentina,Mexico,400510,07,0,61413
2018,Argentina,Mexico,400510,07,0,91959
2020,Argentina,Mexico,400510,07,0,35775
2017,Argentina,Mexico,400591,07,0,2506
2018,Argentina,Mexico,400591,07,0,142
2019,Argentina,Mexico,400591,07,0,19901
2020,Argentina,Mexico,400591,07,0,5012
2017,Argentina,Mexico,400610,07,0,7331
2017,Argentina,Mexico,400690,07,0,64
2018,Argentina,Mexico,400690,07,0,1319
2019,Argentina,Mexico,400690,07,0,27
2020,Argentina,Mexico,400690,07,0,1571
2018,Argentina,Mexico,400811,07,0,4178
2019,Argentina,Mexico,400811,07,0,2907
2020,Argentina,Mexico,400811,07,0,21
2017,Argentina,Mexico,400821,07,2252,9584
2018,Argentina,Mexico,400821,07,0,52107
2019,Argentina,Mexico,400821,07,0,33602
2020,Argentina,Mexico,400821,07,0,58034
2017,Argentina,Mexico,400829,07,3975,0
2018,Argentina,Mexico,400829,07,0,12
2019,Argentina,Mexico,400829,07,2349,225995
2020,Argentina,Mexico,400829,07,0,826
2017,Argentina,Mexico,400911,07,53369,38111
2018,Argentina,Mexico,400911,07,76725,47769
2019,Argentina,Mexico,400911,07,74683,50606
2020,Argentina,Mexico,400911,07,67887,5863
2017,Argentina,Mexico,400912,07,877,42411
2018,Argentina,Mexico,400912,07,6348,45991
2019,Argentina,Mexico,400912,07,0,13019
2020,Argentina,Mexico,400912,07,0,13862
2017,Argentina,Mexico,400921,07,522,48078
2018,Argentina,Mexico,400921,07,0,21302
2019,Argentina,Mexico,400921,07,0,16195
2020,Argentina,Mexico,400921,07,0,23455
2017,Argentina,Mexico,400922,07,3438,33829
2018,Argentina,Mexico,400922,07,0,27542
2019,Argentina,Mexico,400922,07,0,14644
2020,Argentina,Mexico,400922,07,4214,7421
2017,Argentina,Mexico,400931,07,291578,40169
2018,Argentina,Mexico,400931,07,557710,56712
2019,Argentina,Mexico,400931,07,1199728,38755
2020,Argentina,Mexico,400931,07,1247703,43830
2017,Argentina,Mexico,400932,07,2668,88495
2018,Argentina,Mexico,400932,07,856,27978
2019,Argentina,Mexico,400932,07,2604,69806
2020,Argentina,Mexico,400932,07,0,90640
2017,Argentina,Mexico,400941,07,357,2876
2018,Argentina,Mexico,400941,07,0,21066
2019,Argentina,Mexico,400941,07,0,14443
2020,Argentina,Mexico,400941,07,0,1857
2017,Argentina,Mexico,400942,07,4775,751353
2018,Argentina,Mexico,400942,07,3118,626126
2019,Argentina,Mexico,400942,07,0,120331
2020,Argentina,Mexico,400942,07,0,18596
2017,Argentina,Mexico,401012,07,1623,0
2018,Argentina,Mexico,401019,07,0,424
2019,Argentina,Mexico,401019,07,0,12048
2020,Argentina,Mexico,401019,07,0,7987
2017,Argentina,Mexico,401031,07,44620,195607
2018,Argentina,Mexico,401031,07,114639,149926
2019,Argentina,Mexico,401031,07,78994,160054
2020,Argentina,Mexico,401031,07,3993,207996
2017,Argentina,Mexico,401032,07,15,53698
2018,Argentina,Mexico,401032,07,0,54568
2019,Argentina,Mexico,401032,07,0,63224
2020,Argentina,Mexico,401032,07,0,44675
2017,Argentina,Mexico,401033,07,25576,77928
2018,Argentina,Mexico,401033,07,0,48119
2019,Argentina,Mexico,401033,07,0,76299
2020,Argentina,Mexico,401033,07,0,62600
2017,Argentina,Mexico,401034,07,0,15081
2018,Argentina,Mexico,401034,07,0,5580
2019,Argentina,Mexico,401034,07,0,8698
2020,Argentina,Mexico,401034,07,0,22306
2017,Argentina,Mexico,401035,07,46754,32688
2018,Argentina,Mexico,401035,07,0,23533
2019,Argentina,Mexico,401035,07,0,4228
2020,Argentina,Mexico,401035,07,0,9129
2017,Argentina,Mexico,401036,07,686,50
2018,Argentina,Mexico,401036,07,0,447
2017,Argentina,Mexico,401039,07,10908,1032377
2018,Argentina,Mexico,401039,07,56114,778156
2019,Argentina,Mexico,401039,07,21683,998473
2020,Argentina,Mexico,401039,07,102492,1062697
2017,Argentina,Mexico,401110,07,1457319,5733746
2018,Argentina,Mexico,401110,07,0,2559027
2019,Argentina,Mexico,401110,07,0,2332172
2020,Argentina,Mexico,401110,07,0,1138291
2017,Argentina,Mexico,401120,07,0,4909051
2018,Argentina,Mexico,401120,07,0,2787761
2019,Argentina,Mexico,401120,07,0,532486
2020,Argentina,Mexico,401120,07,0,288015
2018,Argentina,Mexico,401130,07,0,561
2017,Argentina,Mexico,401161,07,173669,391242
2018,Argentina,Mexico,401161,07,0,1149505
2019,Argentina,Mexico,401161,07,0,791458
2020,Argentina,Mexico,401161,07,0,711014
2017,Argentina,Mexico,401162,07,0,30042
2017,Argentina,Mexico,401192,07,48859,688342
2018,Argentina,Mexico,401194,07,0,26419
2019,Argentina,Mexico,401194,07,0,182545
2020,Argentina,Mexico,401194,07,0,512113
2018,Argentina,Mexico,401199,07,0,39815
2019,Argentina,Mexico,401199,07,0,42740
2020,Argentina,Mexico,401199,07,0,50636
2017,Argentina,Mexico,401290,07,0,310123
2018,Argentina,Mexico,401290,07,0,146367
2019,Argentina,Mexico,401290,07,0,79946
2020,Argentina,Mexico,401290,07,0,421239
2017,Argentina,Mexico,401390,07,0,756
2018,Argentina,Mexico,401390,07,0,3285
2019,Argentina,Mexico,401390,07,0,3620
2020,Argentina,Mexico,401390,07,0,6592
2017,Argentina,Mexico,401519,07,0,26844
2018,Argentina,Mexico,401519,07,0,34822
2019,Argentina,Mexico,401519,07,0,34320
2020,Argentina,Mexico,401519,07,0,10554
2018,Argentina,Mexico,401590,07,0,2891
2017,Argentina,Mexico,401610,07,83003,3541
2018,Argentina,Mexico,401610,07,0,824102
2019,Argentina,Mexico,401610,07,31954,169494
2020,Argentina,Mexico,401610,07,31274,57467
2017,Argentina,Mexico,401691,07,0,11666
2018,Argentina,Mexico,401691,07,0,119752
2019,Argentina,Mexico,401691,07,0,47083
2020,Argentina,Mexico,401691,07,0,18074
2017,Argentina,Mexico,401692,07,0,23814
2018,Argentina,Mexico,401692,07,0,6153
2019,Argentina,Mexico,401692,07,0,5828
2020,Argentina,Mexico,401692,07,0,1472
2017,Argentina,Mexico,401693,07,858502,800453
2018,Argentina,Mexico,401693,07,1318613,1387343
2019,Argentina,Mexico,401693,07,1511260,1025037
2020,Argentina,Mexico,401693,07,266601,716613
2017,Argentina,Mexico,401695,07,0,42111
2018,Argentina,Mexico,401695,07,0,60920
2019,Argentina,Mexico,401695,07,0,18990
2020,Argentina,Mexico,401695,07,0,940
2017,Argentina,Mexico,401699,07,60892,521951
2018,Argentina,Mexico,401699,07,36180,429984
2019,Argentina,Mexico,401699,07,51574,358594
2020,Argentina,Mexico,401699,07,52278,514696
2017,Argentina,Mexico,401700,07,13601,0
2018,Argentina,Mexico,401700,07,0,101
2019,Argentina,Mexico,401700,07,0,228
2017,Argentina,Mexico,410120,08,56757,0
2017,Argentina,Mexico,410150,08,324720,0
2018,Argentina,Mexico,410150,08,2942484,0
2020,Argentina,Mexico,410150,08,544017,0
2017,Argentina,Mexico,410390,08,4130,0
2017,Argentina,Mexico,410411,08,155882,0
2017,Argentina,Mexico,410441,08,18500262,0
2018,Argentina,Mexico,410441,08,30434307,0
2019,Argentina,Mexico,410441,08,19651045,0
2020,Argentina,Mexico,410441,08,13707332,0
2017,Argentina,Mexico,410449,08,11407322,0
2018,Argentina,Mexico,410449,08,7883880,0
2017,Argentina,Mexico,410640,08,809700,0
2018,Argentina,Mexico,410640,08,1169450,0
2019,Argentina,Mexico,410640,08,650250,0
2017,Argentina,Mexico,410692,08,52000,0
2017,Argentina,Mexico,410712,08,9949432,0
2017,Argentina,Mexico,410719,08,10946189,0
2017,Argentina,Mexico,410792,08,5778901,0
2018,Argentina,Mexico,410792,08,4745519,0
2019,Argentina,Mexico,410792,08,2160505,0
2020,Argentina,Mexico,410792,08,1133513,0
2017,Argentina,Mexico,410799,08,299449,0
2017,Argentina,Mexico,420100,08,0,64
2019,Argentina,Mexico,420100,08,25060,1774
2020,Argentina,Mexico,420100,08,12976,630
2019,Argentina,Mexico,420211,08,0,820
2020,Argentina,Mexico,420211,08,0,1611
2017,Argentina,Mexico,420212,08,0,5427
2018,Argentina,Mexico,420212,08,0,21841
2019,Argentina,Mexico,420212,08,0,6182
2020,Argentina,Mexico,420212,08,0,220
2019,Argentina,Mexico,420219,08,757,0
2017,Argentina,Mexico,420221,08,19289,6077
2017,Argentina,Mexico,420222,08,0,4681
2018,Argentina,Mexico,420222,08,0,2474
2019,Argentina,Mexico,420222,08,0,2429
2020,Argentina,Mexico,420222,08,0,190
2017,Argentina,Mexico,420231,08,0,316
2018,Argentina,Mexico,420231,08,0,269
2017,Argentina,Mexico,420232,08,0,49
2018,Argentina,Mexico,420232,08,0,4416
2017,Argentina,Mexico,420239,08,50,0
2017,Argentina,Mexico,420291,08,1370,2009
2018,Argentina,Mexico,420291,08,0,566
2019,Argentina,Mexico,420291,08,0,123
2020,Argentina,Mexico,420291,08,0,942
2017,Argentina,Mexico,420292,08,13699,20144
2018,Argentina,Mexico,420292,08,1014,1306
2019,Argentina,Mexico,420292,08,126010,4208
2020,Argentina,Mexico,420292,08,0,10432
2017,Argentina,Mexico,420299,08,566,0
2018,Argentina,Mexico,420299,08,0,202
2019,Argentina,Mexico,420299,08,0,113
2017,Argentina,Mexico,420310,08,21002,0
2017,Argentina,Mexico,420330,08,4572,182
2018,Argentina,Mexico,420330,08,0,85
2019,Argentina,Mexico,420330,08,0,1272
2020,Argentina,Mexico,420330,08,0,806
2020,Argentina,Mexico,420340,08,0,19
2017,Argentina,Mexico,420500,08,0,70
2018,Argentina,Mexico,420500,08,0,10183
2019,Argentina,Mexico,420500,08,0,1080
2017,Argentina,Mexico,440710,09,1734989,0
2018,Argentina,Mexico,440710,09,2269453,0
2019,Argentina,Mexico,440710,09,4252827,0
2020,Argentina,Mexico,440710,09,3911841,0
2017,Argentina,Mexico,441011,09,375887,0
2017,Argentina,Mexico,441114,09,705602,4336
2019,Argentina,Mexico,441300,09,0,10180
2017,Argentina,Mexico,441400,09,1180,0
2019,Argentina,Mexico,441510,09,0,685
2017,Argentina,Mexico,441520,09,0,65
2018,Argentina,Mexico,441520,09,0,3362
2019,Argentina,Mexico,441520,09,0,10786
2020,Argentina,Mexico,441520,09,0,129
2018,Argentina,Mexico,441890,09,0,640
2019,Argentina,Mexico,441900,09,2647,0
2018,Argentina,Mexico,442010,09,0,14185
2019,Argentina,Mexico,442010,09,0,11078
2020,Argentina,Mexico,442010,09,0,1656
2017,Argentina,Mexico,442090,09,184,0
2018,Argentina,Mexico,442090,09,0,10753
2019,Argentina,Mexico,442090,09,0,670
2017,Argentina,Mexico,442110,09,1586,0
2017,Argentina,Mexico,442190,09,2,0
2018,Argentina,Mexico,442190,09,0,44404
2019,Argentina,Mexico,442190,09,8895,3432
2020,Argentina,Mexico,442190,09,0,2281
2017,Argentina,Mexico,450490,09,457,240
2018,Argentina,Mexico,450490,09,0,314
2019,Argentina,Mexico,450490,09,0,175
2020,Argentina,Mexico,450490,09,0,222
2017,Argentina,Mexico,460194,09,0,676
2017,Argentina,Mexico,460290,09,0,15811
2018,Argentina,Mexico,460290,09,0,4830
2017,Argentina,Mexico,470321,10,9781,0
2017,Argentina,Mexico,480256,10,33686,0
2017,Argentina,Mexico,480421,10,39084,0
2020,Argentina,Mexico,480421,10,0,281
2017,Argentina,Mexico,480431,10,14750,0
2017,Argentina,Mexico,480439,10,0,165221
2018,Argentina,Mexico,480439,10,0,192141
2019,Argentina,Mexico,480439,10,0,105639
2020,Argentina,Mexico,480439,10,0,70477
2017,Argentina,Mexico,480511,10,87908,0
2017,Argentina,Mexico,480524,10,4770,0
2017,Argentina,Mexico,480525,10,20534,0
2017,Argentina,Mexico,480530,10,3250,0
2020,Argentina,Mexico,480620,10,0,119684
2020,Argentina,Mexico,480640,10,0,4451
2017,Argentina,Mexico,480810,10,0,13
2018,Argentina,Mexico,480810,10,0,114
2019,Argentina,Mexico,480810,10,0,4148
2017,Argentina,Mexico,480840,10,0,59371
2018,Argentina,Mexico,480840,10,0,38206
2019,Argentina,Mexico,480840,10,0,59670
2020,Argentina,Mexico,480840,10,0,118155
2017,Argentina,Mexico,480990,10,0,27
2018,Argentina,Mexico,480990,10,0,88
2019,Argentina,Mexico,480990,10,0,117
2020,Argentina,Mexico,480990,10,0,29
2017,Argentina,Mexico,481013,10,77270,0
2019,Argentina,Mexico,481013,10,0,2749
2018,Argentina,Mexico,481029,10,0,11776
2017,Argentina,Mexico,481031,10,51605,0
2017,Argentina,Mexico,481141,10,66283,1838
2018,Argentina,Mexico,481141,10,19285,17987
2020,Argentina,Mexico,481141,10,0,3718
2017,Argentina,Mexico,481151,10,0,29271
2018,Argentina,Mexico,481151,10,0,31243
2017,Argentina,Mexico,481159,10,0,190230
2018,Argentina,Mexico,481159,10,0,144930
2019,Argentina,Mexico,481159,10,0,245042
2020,Argentina,Mexico,481159,10,0,434430
2017,Argentina,Mexico,481190,10,33,0
2018,Argentina,Mexico,481190,10,0,124
2019,Argentina,Mexico,481200,10,0,17407
2020,Argentina,Mexico,481200,10,0,22305
2017,Argentina,Mexico,481310,10,144255,0
2020,Argentina,Mexico,481310,10,0,20938
2017,Argentina,Mexico,481320,10,22500,942
2018,Argentina,Mexico,481320,10,0,187
2017,Argentina,Mexico,481390,10,88592,0
2019,Argentina,Mexico,481390,10,0,4893
2020,Argentina,Mexico,481390,10,0,10726
2017,Argentina,Mexico,481690,10,0,6662
2018,Argentina,Mexico,481690,10,0,83379
2019,Argentina,Mexico,481690,10,0,27904
2020,Argentina,Mexico,481690,10,0,30662
2017,Argentina,Mexico,481710,10,2426,0
2018,Argentina,Mexico,481710,10,0,129
2018,Argentina,Mexico,481730,10,0,48
2017,Argentina,Mexico,481810,10,0,500
2017,Argentina,Mexico,481820,10,13181,0
2017,Argentina,Mexico,481830,10,40,0
2020,Argentina,Mexico,481830,10,0,17736
2020,Argentina,Mexico,481850,10,0,874
2017,Argentina,Mexico,481910,10,2735,0
2018,Argentina,Mexico,481910,10,8149,91
2019,Argentina,Mexico,481910,10,3583,9474
2020,Argentina,Mexico,481910,10,3318,2220
2017,Argentina,Mexico,481920,10,30377,773175
2018,Argentina,Mexico,481920,10,853,136045
2019,Argentina,Mexico,481920,10,2455,24212
2020,Argentina,Mexico,481920,10,2775,23023
2017,Argentina,Mexico,481930,10,8721,0
2018,Argentina,Mexico,481930,10,14568,0
2019,Argentina,Mexico,481930,10,7323,0
2017,Argentina,Mexico,481940,10,9949,461934
2018,Argentina,Mexico,481940,10,0,500962
2019,Argentina,Mexico,481940,10,53023,763835
2020,Argentina,Mexico,481940,10,0,1185540
2017,Argentina,Mexico,481950,10,6159,0
2019,Argentina,Mexico,481950,10,0,7617
2020,Argentina,Mexico,481950,10,0,6
2017,Argentina,Mexico,482010,10,6066,0
2017,Argentina,Mexico,482020,10,1093,166
2017,Argentina,Mexico,482030,10,78,423
2018,Argentina,Mexico,482030,10,0,782
2020,Argentina,Mexico,482030,10,0,370
2017,Argentina,Mexico,482040,10,0,6845
2018,Argentina,Mexico,482040,10,0,6948
2019,Argentina,Mexico,482040,10,0,7420
2020,Argentina,Mexico,482040,10,0,440
2020,Argentina,Mexico,482090,10,0,53
2017,Argentina,Mexico,482110,10,7448,5457
2018,Argentina,Mexico,482110,10,1173,88
2019,Argentina,Mexico,482110,10,1302,1063
2020,Argentina,Mexico,482110,10,149,10397
2017,Argentina,Mexico,482190,10,0,3174
2018,Argentina,Mexico,482190,10,0,6076
