year,reporter,partner,commodity_code,section_code,trade_value_usd_exp,trade_value_usd_imp
2017,Argentina,Mexico,120991,02,0,373469
2018,Argentina,Mexico,120991,02,0,128934
2019,Argentina,Mexico,120991,02,0,301670
2020,Argentina,Mexico,120991,02,0,172713
2017,Argentina,Mexico,121190,02,0,160968
2018,Argentina,Mexico,121190,02,0,158018
2019,Argentina,Mexico,121190,02,0,130200
2020,Argentina,Mexico,121190,02,0,318658
2018,Argentina,Mexico,121291,02,0,115
2017,Argentina,Mexico,130120,02,1844,0
2018,Argentina,Mexico,130190,02,0,2911
2019,Argentina,Mexico,130190,02,0,8554
2017,Argentina,Mexico,130219,02,64152,547099
2018,Argentina,Mexico,130219,02,45054,344840
2019,Argentina,Mexico,130219,02,35150,336559
2020,Argentina,Mexico,130219,02,52311,617266
2017,Argentina,Mexico,130220,02,280217,1202210
2018,Argentina,Mexico,130220,02,0,776536
2019,Argentina,Mexico,130220,02,0,811593
2020,Argentina,Mexico,130220,02,0,729278
2018,Argentina,Mexico,130231,02,0,159
2017,Argentina,Mexico,140490,02,0,52743
2018,Argentina,Mexico,140490,02,0,93384
2020,Argentina,Mexico,140490,02,0,42919
2017,Argentina,Mexico,150910,03,196526,0
2018,Argentina,Mexico,150910,03,300502,0
2019,Argentina,Mexico,150910,03,123188,0
2020,Argentina,Mexico,150910,03,167636,0
2017,Argentina,Mexico,150990,03,82233,0
2018,Argentina,Mexico,151190,03,0,3320
2020,Argentina,Mexico,151190,03,0,7515
2017,Argentina,Mexico,151211,03,16905000,0
2018,Argentina,Mexico,151211,03,89926575,0
2019,Argentina,Mexico,151211,03,0,324
2017,Argentina,Mexico,151219,03,266749,57
2019,Argentina,Mexico,151219,03,0,90
2020,Argentina,Mexico,151229,03,0,7883
2020,Argentina,Mexico,151419,03,0,801
2017,Argentina,Mexico,151550,03,0,2149
2018,Argentina,Mexico,151550,03,0,1911
2019,Argentina,Mexico,151550,03,0,1671
2020,Argentina,Mexico,151550,03,0,666
2017,Argentina,Mexico,151590,03,53733,9329
2018,Argentina,Mexico,151590,03,0,10212
2019,Argentina,Mexico,151590,03,0,7969
2020,Argentina,Mexico,151590,03,0,5476
2017,Argentina,Mexico,151800,03,184650,0
2017,Argentina,Mexico,152000,03,1020,0
2020,Argentina,Mexico,152000,03,21800,0
2017,Argentina,Mexico,152110,03,0,37685
2019,Argentina,Mexico,152110,03,0,22739
2017,Argentina,Mexico,160300,04,0,14285
2018,Argentina,Mexico,160300,04,0,20190
2019,Argentina,Mexico,160300,04,0,23348
2020,Argentina,Mexico,160300,04,0,18455
2017,Argentina,Mexico,170199,04,18000,0
2017,Argentina,Mexico,170230,04,0,986
2017,Argentina,Mexico,170260,04,0,54944
2018,Argentina,Mexico,170260,04,0,27782
2017,Argentina,Mexico,170290,04,0,47080
2018,Argentina,Mexico,170290,04,0,10
2019,Argentina,Mexico,170290,04,0,181
2020,Argentina,Mexico,170290,04,0,31
2017,Argentina,Mexico,170410,04,0,163620
2018,Argentina,Mexico,170410,04,0,617115
2019,Argentina,Mexico,170410,04,0,11019
2020,Argentina,Mexico,170410,04,0,18801
2017,Argentina,Mexico,170490,04,356874,2312438
2018,Argentina,Mexico,170490,04,0,3500061
2019,Argentina,Mexico,170490,04,0,2974832
2020,Argentina,Mexico,170490,04,0,1558306
2018,Argentina,Mexico,180310,04,0,559789
2019,Argentina,Mexico,180310,04,0,974905
2020,Argentina,Mexico,180310,04,0,614091
2017,Argentina,Mexico,180500,04,0,22943
2017,Argentina,Mexico,180620,04,21056,5613
2018,Argentina,Mexico,180620,04,0,1400
2020,Argentina,Mexico,180620,04,0,1294
2017,Argentina,Mexico,180631,04,0,766245
2018,Argentina,Mexico,180631,04,0,770133
2019,Argentina,Mexico,180631,04,0,381079
2020,Argentina,Mexico,180631,04,0,530904
2017,Argentina,Mexico,180690,04,71987,87728
2018,Argentina,Mexico,180690,04,0,365674
2019,Argentina,Mexico,180690,04,0,409707
2020,Argentina,Mexico,180690,04,0,26128
2017,Argentina,Mexico,190110,04,3363582,2598202
2018,Argentina,Mexico,190110,04,5327350,3017891
2019,Argentina,Mexico,190110,04,0,2425909
2020,Argentina,Mexico,190110,04,0,2347614
2017,Argentina,Mexico,190120,04,18,0
2017,Argentina,Mexico,190190,04,1983348,0
2019,Argentina,Mexico,190190,04,1973612,0
2020,Argentina,Mexico,190190,04,1597701,1404
2017,Argentina,Mexico,190211,04,216,0
2019,Argentina,Mexico,190219,04,0,28659
