"commodity_code","commodity_fullname_english","group_code","group_fullname_english","section_code","section_fullname_english"
"020629","Offal, edible; of bovine animals, (other than tongues and livers), frozen","02","Meat and edible meat offal","01","Live animals and animal products"
"020630","Offal, edible; of swine, fresh or chilled","02","Meat and edible meat offal","01","Live animals and animal products"
"020641","Offal, edible; of swine, livers, frozen","02","Meat and edible meat offal","01","Live animals and animal products"
"020649","Offal, edible; of swine, (other than livers), frozen","02","Meat and edible meat offal","01","Live animals and animal products"
"020680","Offal, edible; of sheep, goats, horses, asses, mules or hinnies, fresh or chilled","02","Meat and edible meat offal","01","Live animals and animal products"
"020690","Offal, edible; of sheep, goats, horses, asses, mules or hinnies, frozen","02","Meat and edible meat offal","01","Live animals and animal products"
"020711","Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, fresh or chilled","02","Meat and edible meat offal","01","Live animals and animal products"
"020712","Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, frozen","02","Meat and edible meat offal","01","Live animals and animal products"
"020713","Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, fresh or chilled","02","Meat and edible meat offal","01","Live animals and animal products"
"020714","Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen","02","Meat and edible meat offal","01","Live animals and animal products"
"020724","Meat and edible offal; of turkeys, not cut in pieces, fresh or chilled","02","Meat and edible meat offal","01","Live animals and animal products"
"020725","Meat and edible offal; of turkeys, not cut in pieces, frozen","02","Meat and edible meat offal","01","Live animals and animal products"
"020726","Meat and edible offal; of turkeys, cuts and offal, fresh or chilled","02","Meat and edible meat offal","01","Live animals and animal products"
"020727","Meat and edible offal; of turkeys, cuts and offal, frozen","02","Meat and edible meat offal","01","Live animals and animal products"
"020741","Meat and edible offal; of ducks, not cut in pieces, fresh or chilled","02","Meat and edible meat offal","01","Live animals and animal products"
"020742","Meat and edible offal; of ducks, not cut in pieces, frozen","02","Meat and edible meat offal","01","Live animals and animal products"
"020743","Meat and edible offal; of ducks, fatty livers (foie gras), fresh or chilled","02","Meat and edible meat offal","01","Live animals and animal products"
"020744","Meat and edible offal; of ducks, cuts and offal, excluding fatty livers, fresh or chilled","02","Meat and edible meat offal","01","Live animals and animal products"
"020745","Meat and edible offal; of ducks, cuts and offal, excluding fatty livers, frozen","02","Meat and edible meat offal","01","Live animals and animal products"
"020751","Meat and edible offal; of geese, not cut in pieces, fresh or chilled","02","Meat and edible meat offal","01","Live animals and animal products"
"020752","Meat and edible offal; of geese, not cut in pieces, frozen","02","Meat and edible meat offal","01","Live animals and animal products"
"020753","Meat and edible offal; of geese, fatty livers (foie gras), fresh or chilled","02","Meat and edible meat offal","01","Live animals and animal products"
"020754","Meat and edible offal; of geese, cuts and offal, excluding fatty livers, fresh or chilled","02","Meat and edible meat offal","01","Live animals and animal products"
"020755","Meat and edible offal; of geese, cuts and offal, excluding fatty livers, frozen","02","Meat and edible meat offal","01","Live animals and animal products"
"020760","Meat and edible offal; of guinea fowls, fresh, chilled or frozen","02","Meat and edible meat offal","01","Live animals and animal products"
"020810","Meat and edible meat offal; of rabbits or hares, fresh, chilled or frozen","02","Meat and edible meat offal","01","Live animals and animal products"
"020830","Meat and edible meat offal; of primates, fresh, chilled or frozen","02","Meat and edible meat offal","01","Live animals and animal products"
"020840","Meat and edible meat offal; of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia); of seals, sea lions and walruses (mammals of the suborder Pinnipedia), fresh, chilled or frozen","02","Meat and edible meat offal","01","Live animals and animal products"
"020850","Meat and edible meat offal; of reptiles (including snakes and turtles), fresh, chilled or frozen","02","Meat and edible meat offal","01","Live animals and animal products"
"020860","Meat and edible meat offal; of camels and other camelids (Camelidae), fresh, chilled or frozen","02","Meat and edible meat offal","01","Live animals and animal products"
"020890","Meat and edible meat offal; n.e.c. in chapter 2, fresh, chilled or frozen","02","Meat and edible meat offal","01","Live animals and animal products"
"020910","Fat; pig fat, free of lean meat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked","02","Meat and edible meat offal","01","Live animals and animal products"
"020990","Fat; poultry fat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked","02","Meat and edible meat offal","01","Live animals and animal products"
"021011","Meat; salted, in brine, dried or smoked, of swine, hams, shoulders and cuts thereof, with bone in","02","Meat and edible meat offal","01","Live animals and animal products"
"021012","Meat; salted, in brine, dried or smoked, of swine, bellies (streaky) and cuts thereof","02","Meat and edible meat offal","01","Live animals and animal products"
"021019","Meat; salted in brine, dried or smoked, of swine, n.e.c. in item no. 0210.1","02","Meat and edible meat offal","01","Live animals and animal products"
"021020","Meat; salted, in brine, dried or smoked, of bovine animals","02","Meat and edible meat offal","01","Live animals and animal products"
"021091","Meat and edible meat offal; salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, of primates","02","Meat and edible meat offal","01","Live animals and animal products"
"021092","Meat and edible meat offal; salted, in brine, dried or smoked; edible flours, meals of meat or meat offal, of whales, dolphins, porpoises (of order Cetacea); manatees, dugongs (of order Sirenia); seals, sea lions, and walruses (of suborder Pinnipedia)","02","Meat and edible meat offal","01","Live animals and animal products"
"021093","Meat and edible meat offal; salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, of reptiles (including snakes and turtles)","02","Meat and edible meat offal","01","Live animals and animal products"
