"commodity_code","commodity_fullname_english","group_code","group_fullname_english","section_code","section_fullname_english"
"021099","Meat and edible meat offal; salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, other than of primates, whales, dolphins, porpoises, manatees, dugongs, seals, sea lions, walruses, reptiles (including snakes and turtles)","02","Meat and edible meat offal","01","Live animals and animal products"
"030111","Fish; live, ornamental, freshwater","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030119","Fish; live, ornamental, other than freshwater","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030191","Fish; live, trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030192","Fish; live, eels (Anguilla spp.)","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030193","Fish; live, carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus)","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030194","Fish; live, Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis)","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030195","Fish; live, southern bluefin tunas (Thunnus maccoyii)","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030199","Fish; live, n.e.c. in heading 0301","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030211","Fish; fresh or chilled, trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster), excluding fillets, livers, roes, and other fish meat of heading 0304","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030213","Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou, Oncorhynchus rhodurus), not fillets, livers, roes, other fish meat of heading 0304","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030214","Fish; fresh or chilled, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), excluding fillets, livers, roes, and other fish meat of heading 0304","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030219","Fish; fresh or chilled, salmonidae, n.e.c. in item no. 0302.1, excluding fillets, livers, roes, and other fish meat of heading 0304","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030221","Fish; fresh or chilled, halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis), excluding fillets, livers, roes, and other fish meat of heading 0304","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030222","Fish; fresh or chilled, plaice (Pleuronectes platessa), excluding fillets, livers, roes, and other fish meat of heading 0304","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030223","Fish; fresh or chilled, sole (Solea spp.), excluding fillets, livers, roes, and other fish meat of heading 0304","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030224","Fish; fresh or chilled, turbots (Psetta maxima, Scophthalmidae), excluding fillets, livers, roes, and other fish meat of heading 0304","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030229","Fish; fresh or chilled, flat fish, n.e.c. in item no. 0302.2, excluding fillets, livers, roes, and other fish meat of heading 0304","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030231","Fish; fresh or chilled, albacore or longfinned tunas (Thunnus alalunga), excluding fillets, livers, roes, and other fish meat of heading 0304","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030232","Fish; fresh or chilled, yellowfin tunas (Thunnus albacares), excluding fillets, livers, roes, and other fish meat of heading 0304","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030233","Fish; fresh or chilled, skipjack or stripe-bellied bonito, excluding fillets, livers, roes, and other fish meat of heading 0304","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030234","Fish; fresh or chilled, bigeye tunas (Thunnus obesus), excluding fillets, livers, roes, and other fish meat of heading 0304","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030235","Fish; fresh or chilled, Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis), excluding fillets, livers, roes, and other fish meat of heading 0304","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030236","Fish; fresh or chilled, southern bluefin tunas (Thunnus maccoyii), excluding fillets, livers, roes, and other fish meat of heading 0304","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030239","Fish; fresh or chilled, tuna, n.e.c. in item no. 0302.3, excluding fillets, livers, roes, and other fish meat of heading 0304","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030241","Fish; fresh or chilled, herrings (Clupea harengus, Clupea pallasii), excluding fillets, livers, roes, and other fish meat of heading 0304","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030242","Fish; fresh or chilled, anchovies (Engraulis spp.), excluding fillets, livers, roes, and other fish meat of heading 0304","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030243","Fish; fresh or chilled, sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), excluding fillets, livers, roes, and other fish meat of heading 0304","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030244","Fish; fresh or chilled, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, livers, roes, and other fish meat of heading 0304","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030245","Fish; fresh or chilled, jack and horse mackerel (Trachurus spp.), excluding fillets, livers, roes, and other fish meat of heading 0304","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030246","Fish; fresh or chilled, cobia (Rachycentron canadum), excluding fillets, livers, roes, and other fish meat of heading 0304","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030247","Fish; fresh or chilled, swordfish (Xiphias gladius), excluding fillets, livers, roes, and other fish meat of heading 0304","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030251","Fish; fresh or chilled, cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), excluding fillets, livers, roes, and other fish meat of heading 0304","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030252","Fish; fresh or chilled, haddock (Melanogrammus aeglefinus), excluding fillets, livers, roes, and other fish meat of heading 0304","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030253","Fish; fresh or chilled, coalfish (Pollachius virens), excluding fillets, livers, roes, and other fish meat of heading 0304","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030254","Fish; fresh or chilled, hake (Merluccius spp., Urophycis spp.), excluding fillets, livers, roes, and other fish meat of heading 0304","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030255","Fish; fresh or chilled, Alaska pollack (Theragra chalcogramma), excluding fillets, livers, roes, and other fish meat of heading 0304","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030256","Fish; fresh or chilled, blue whitings (Micromesistius poutassou, Micromesistius australis), excluding fillets, livers, roes, and other fish meat of heading 0304","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030259","Fish; fresh or chilled, n.e.c. in item no. 0302.5, excluding fillets, livers, roes, and other fish meat of heading 0304","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030271","Fish; fresh or chilled, tilapias (Oreochromis spp.), excluding fillets, livers, roes, and other fish meat of heading 0304","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030272","Fish; fresh or chilled, catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), excluding fillets, livers, roes, and other fish meat of heading 0304","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030273","Fish; fresh or chilled, carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus), excluding fillets, livers, roes, and other fish meat of heading 0304","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030274","Fish; fresh or chilled, eels (Anguilla spp.), excluding fillets, livers, roes, and other fish meat of heading 0304","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030279","Fish; fresh or chilled, Nile perch (Lates niloticus) and snakeheads (Channa spp.), excluding fillets, livers, roes, and other fish meat of heading 0304","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030281","Fish; fresh or chilled, dogfish and other sharks, excluding fillets, livers, roes, and other fish meat of heading 0304","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030282","Fish; fresh or chilled, rays and skates (Rajidae), excluding fillets, livers, roes, and other fish meat of heading 0304","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030283","Fish; fresh or chilled, toothfish (Dissostichus spp.), excluding fillets, livers, roes, and other fish meat of heading 0304","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030284","Fish; fresh or chilled, seabass (Dicentrarchus spp.), excluding fillets, livers, roes, and other fish meat of heading 0304","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030285","Fish; fresh or chilled, seabream (Sparidae), excluding fillets, livers, roes, and other fish meat of heading 0304","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030289","Fish; fresh or chilled, n.e.c. in heading 0302, excluding fillets, livers, roes, and other fish meat of heading 0304","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030290","Fish; fresh or chilled, livers and roes","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030311","Fish; frozen, Pacific salmon, sockeye salmon (red salmon) (Oncorhynchus nerka), excluding fillets, livers, roes, and other fish meat of heading 0304","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030312","Fish; frozen, Pacific salmon (Oncorhynchus gorbuscha/keta/tschawytscha/ kisutch/masou/rhodurus) other than sockeye salmon (Oncorhynchus nerka), excluding fillets, livers, roes, and other fish meat of heading 0304","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030313","Fish; frozen, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), excluding fillets, livers, roes, and other fish meat of heading 0304","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030314","Fish; frozen, trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster), excluding fillets, livers, roes, and other fish meat of heading 0304","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030319","Fish; frozen, salmonidae, n.e.c. in item no. 0303.1, excluding fillets, livers, roes, and other fish meat of heading 0304","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030323","Fish; frozen, tilapias (Oreochromis spp.), excluding fillets, livers, roes, and other fish meat of heading 0304","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030324","Fish; frozen, catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), excluding fillets, livers, roes, and other fish meat of heading 0304","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030325","Fish; frozen, carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus), excluding fillets, livers, roes, and other fish meat of heading 0304","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030326","Fish; frozen, eels (Anguilla spp.), excluding fillets, livers, roes, and other fish meat of heading 0304","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030329","Fish; frozen, Nile perch (Lates niloticus) and snakeheads (Channa spp.), excluding fillets, livers, roes, and other fish meat of heading 0304","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030331","Fish; frozen, halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis), excluding fillets, livers, roes, and other fish meat of heading 0304","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030332","Fish; frozen, plaice (Pleuronectes platessa), excluding fillets, livers, roes, and other fish meat of heading 0304","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030333","Fish; frozen, sole (Solea spp.), excluding fillets, livers, roes, and other fish meat of heading 0304","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030334","Fish; frozen, turbots (Psetta maxima, Scophthalmidae), excluding fillets, livers, roes, and other fish meat of heading 0304","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030339","Fish; frozen, flat fish, n.e.c. in item no. 0303.3, excluding fillets, livers, roes, and other fish meat of heading 0304","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030341","Fish; frozen, albacore or longfinned tunas (Thunnus alalunga), excluding fillets, livers, roes, and other fish meat of heading 0304","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030342","Fish; frozen, yellowfin tunas (Thunnus albacares), excluding fillets, livers, roes, and other fish meat of heading 0304","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030343","Fish; frozen, skipjack or stripe-bellied bonito, excluding fillets, livers, roes, and other fish meat of heading 0304","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030344","Fish; frozen, bigeye tunas (Thunnus obesus), excluding fillets, livers, roes, and other fish meat of heading 0304","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030345","Fish; frozen, Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis), excluding fillets, livers, roes, and other fish meat of heading 0304","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030346","Fish; frozen, southern bluefin tunas (Thunnus maccoyii), excluding fillets, livers, roes, and other fish meat of heading 0304","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030349","Fish; frozen, tuna, n.e.c. in item no. 0303.4, excluding fillets, livers, roes, and other fish meat of heading 0304","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030351","Fish; frozen, herrings (Clupea harengus, Clupea pallasii), excluding fillets, livers, roes, and other fish meat of heading 0304","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030353","Fish; frozen, sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), excluding fillets, livers, roes, and other fish meat of heading 0304","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
"030354","Fish; frozen, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, livers, roes, and other fish meat of heading 0304","03","Fish and crustaceans, molluscs and other aquatic invertebrates","01","Live animals and animal products"
